memberId,siteId,regId,osName,baseBoardManufacturer,servicePack,osVersion,installedSoftwareFirstName,installedSoftwareFirstPublisher,installedSoftwareFirstVersion,installedSoftwareFirstInstallDate,installedSoftwareSecondName,installedSoftwareSecondPublisher,installedSoftwareSecondVersion,installedSoftwareSecondInstallDate,ramSize
50000022,50000001,50000005,Microsoft Windows 7 Professional,Giga Byte Technology,Service Pack1,6.1.7601,freeSSHd 1.3.1,Kresimir Petric,,2017-07-28T00:00:00Z,Microsoft .NET Framework 4.5.2,Microsoft Corporation,4.5.51209,2017-07-28T00:00:00Z,8589934592
50039539,50000004,50000006,Microsoft Windows 7 Professional,Giga Byte Technology,Service Pack1,5.1.7601,freeSSHd 1.3.1,Kresimir Petric,,2017-07-27T00:00:00Z,Microsoft .NET Framework 4.5.2,Microsoft Corporation,3.2.51209,2017-07-27T00:00:00Z,8589934594
50048370,50000004,50000006,Microsoft Windows 7 Professional,Giga Byte Technology,Service Pack2,6.1.6666,ITSupport247- DPMA,Continuum Managed Services LLC,5.3.8,2017-07-26T00:00:00Z,Java SE Development Kit 8 Update 141,Oracle Corporation,8.0.1409.15,2017-07-26T00:00:00Z,8589934596
50049190,50000004,50000006,Microsoft Windows 7 Professional,Giga Byte Technology,Service Pack2,6.1.7612,ITSupport247- DPMA,Continuum Managed Services LLC,5.3.8,2017-07-25T00:00:00Z,Java SE Development Kit 8 Update 141,Oracle Corporation,8.0.1410.15,2017-07-25T00:00:00Z,8589934598
50049233,50000004,50000006,Microsoft Windows 7 Professional,Giga Byte Technology,Service Pack3,6.1.7634,VMware Tools,"VMware, Inc.",10.0.6.3560309,2017-07-24T00:00:00Z,Java SE Development Kit 8 Update 131,Oracle Corporation,8.0.1310.11,2017-07-24T00:00:00Z,8589934600
50049275,50000004,50000006,Microsoft Windows 7 Professional,Giga Byte Technology,Service Pack3,6.1.5641,VMware Tools,"VMware, Inc.",10.0.6.3560309,2017-07-23T00:00:00Z,Java SE Development Kit 8 Update 131,Oracle Corporation,8.0.1310.10,2017-07-23T00:00:00Z,8589934602
50000053,50000004,50000007,Microsoft Windows 7 Professional,Giga Byte Technology,,4.1.7601,OpenSSH for Windows,Open Source Solutions,5.3.1.2,2017-07-22T00:00:00Z,Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.40649,Microsoft Corporation,12.0.40649.5,2017-07-22T00:00:00Z,8589934604
50000074,50000004,50000008,Microsoft Windows 7 Professional,Intel Corporation,Service Pack1,3.2.7601,freeSSHd 1.3.1,Kresimir Petric,,2017-07-21T00:00:00Z,Microsoft .NET Framework 4.5.2,Microsoft Corporation,4.5.51209,2017-07-21T00:00:00Z,8589934606
50046431,50000001,50000851,Microsoft Windows 7 Professional,Intel Corporation,Service Pack2,3.1.7601,freeSSHd 1.3.1,Kresimir Petric,,2017-07-20T00:00:00Z,Microsoft .NET Framework 4.5.2,Microsoft Corporation,3.2.51209,2017-07-20T00:00:00Z,8589934608
50047417,50000001,50000851,Microsoft Windows 7 Professional,Intel Corporation,Service Pack2,2.6.7601,ITSupport247- DPMA,Continuum Managed Services LLC,5.3.8,2017-07-19T00:00:00Z,Java SE Development Kit 8 Update 141,Oracle Corporation,8.0.1409.15,2017-07-19T00:00:00Z,8589934610
50047433,50000001,50000851,Microsoft Windows 7 Professional,Intel Corporation,Service Pack3,3.4.7601,ITSupport247- DPMA,Continuum Managed Services LLC,5.3.8,2017-07-18T00:00:00Z,Java SE Development Kit 8 Update 141,Oracle Corporation,8.0.1410.15,2017-07-18T00:00:00Z,8589934612
50047779,50000001,50000851,Microsoft Windows 7 Professional,Intel Corporation,Service Pack3,6.0.7601,VMware Tools,"VMware, Inc.",10.0.6.3560309,2017-07-17T00:00:00Z,Java SE Development Kit 8 Update 131,Oracle Corporation,8.0.1310.11,2017-07-17T00:00:00Z,8589934614
50047780,50000001,50000851,Microsoft Windows 8 Professional,Giga Byte Technology,Service Pack1,6.1.7601,freeSSHd 1.3.1,Kresimir Petric,,2017-07-28T00:00:00Z,Microsoft .NET Framework 4.5.2,Microsoft Corporation,4.5.51209,2017-07-28T00:00:00Z,8589934616
50048344,50000001,50000851,Microsoft Windows 8 Professional,Giga Byte Technology,Service Pack1,5.1.7601,freeSSHd 1.3.1,Kresimir Petric,,2017-07-27T00:00:00Z,Microsoft .NET Framework 4.5.2,Microsoft Corporation,3.2.51209,2017-07-27T00:00:00Z,8589934618
50048944,50000001,50000851,Microsoft Windows 8 Professional,Giga Byte Technology,Service Pack2,6.1.6666,ITSupport247- DPMA,Continuum Managed Services LLC,5.3.8,2017-07-26T00:00:00Z,Java SE Development Kit 8 Update 141,Oracle Corporation,8.0.1409.15,2017-07-26T00:00:00Z,8589934620
50049164,50000001,50000851,Microsoft Windows 8 Professional,Giga Byte Technology,Service Pack2,6.1.7612,ITSupport247- DPMA,Continuum Managed Services LLC,5.3.8,2017-07-25T00:00:00Z,Java SE Development Kit 8 Update 141,Oracle Corporation,8.0.1410.15,2017-07-25T00:00:00Z,8589934622
50049244,50000001,50000851,Microsoft Windows 8 Professional,Giga Byte Technology,Service Pack3,6.1.7634,VMware Tools,"VMware, Inc.",10.0.6.3560309,2017-07-24T00:00:00Z,Java SE Development Kit 8 Update 131,Oracle Corporation,8.0.1310.11,2017-07-24T00:00:00Z,8589934624
50049247,50000001,50000851,Microsoft Windows 8 Professional,Giga Byte Technology,Service Pack3,6.1.5641,VMware Tools,"VMware, Inc.",10.0.6.3560309,2017-07-23T00:00:00Z,Java SE Development Kit 8 Update 131,Oracle Corporation,8.0.1310.10,2017-07-23T00:00:00Z,8589934626
50049308,50000001,50000851,Microsoft Windows 8 Professional,Giga Byte Technology,,4.1.7601,OpenSSH for Windows,Open Source Solutions,5.3.1.2,2017-07-22T00:00:00Z,Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.40649,Microsoft Corporation,12.0.40649.5,2017-07-22T00:00:00Z,8589934628
50059577,50000001,50000851,Microsoft Windows 8 Professional,Intel Corporation,Service Pack1,3.2.7601,freeSSHd 1.3.1,Kresimir Petric,,2017-07-21T00:00:00Z,Microsoft .NET Framework 4.5.2,Microsoft Corporation,4.5.51209,2017-07-21T00:00:00Z,8589934630
53739990,50000001,50016952,Microsoft Windows 8 Professional,Intel Corporation,Service Pack2,3.1.7601,freeSSHd 1.3.1,Kresimir Petric,,2017-07-20T00:00:00Z,Microsoft .NET Framework 4.5.2,Microsoft Corporation,3.2.51209,2017-07-20T00:00:00Z,8589934632
53739992,50000001,50016952,Microsoft Windows 8 Professional,Intel Corporation,Service Pack2,2.6.7601,ITSupport247- DPMA,Continuum Managed Services LLC,5.3.8,2017-07-19T00:00:00Z,Java SE Development Kit 8 Update 141,Oracle Corporation,8.0.1409.15,2017-07-19T00:00:00Z,8589934634
50000004,50000001,50000003,Microsoft Windows 8 Professional,Intel Corporation,Service Pack3,3.4.7601,ITSupport247- DPMA,Continuum Managed Services LLC,5.3.8,2017-07-18T00:00:00Z,Java SE Development Kit 8 Update 141,Oracle Corporation,8.0.1410.15,2017-07-18T00:00:00Z,8589934636
50000005,50000001,50000003,Microsoft Windows 8 Professional,Intel Corporation,Service Pack3,6.0.7601,VMware Tools,"VMware, Inc.",10.0.6.3560309,2017-07-17T00:00:00Z,Java SE Development Kit 8 Update 131,Oracle Corporation,8.0.1310.11,2017-07-17T00:00:00Z,8589934638
50000036,50000001,50000003,Microsoft Windows 8.1 Professional,Giga Byte Technology,Service Pack1,6.1.7601,freeSSHd 1.3.1,Kresimir Petric,,2017-07-28T00:00:00Z,Microsoft .NET Framework 4.5.2,Microsoft Corporation,4.5.51209,2017-07-28T00:00:00Z,8589934640
50000064,50000001,50000003,Microsoft Windows 8.1 Professional,Giga Byte Technology,Service Pack1,5.1.7601,freeSSHd 1.3.1,Kresimir Petric,,2017-07-27T00:00:00Z,Microsoft .NET Framework 4.5.2,Microsoft Corporation,3.2.51209,2017-07-27T00:00:00Z,8589934642
